Movie,Theaters,Inflation Adjusted Average,Date,Distributor,Season,Holiday,Month,Date,Year
Terminator Salvation,3530,12056,5/21/2009,Warner Bros.,Spring,No,5,21,2009
Tomorrowland,3972,8315,5/22/2015,Walt Disney Studios Motion Pictures,Spring,No,5,22,2015
Poltergeist,3240,6981,5/22/2015,Twentieth Century Fox,Spring,No,5,22,2015
Night at the Museum: Battle of the Smithsonian,4096,13225,5/22/2009,Twentieth Century Fox,Spring,No,5,22,2009
Indiana Jones and the Kingdom of the Crystal Skull,4260,23506,5/22/2008,Paramount Pictures,Spring,No,5,22,2008
Mission: Impossible,3012,15085,5/22/1996,Paramount Pictures,Spring,No,5,22,1996
X-Men: Days of Future Past,3996,22728,5/23/2014,Twentieth Century Fox,Spring,Yes,5,23,2014
The Hangover Part III,3555,11721,5/23/2013,Warner Bros.,Spring,Yes,5,23,2013
Bruce Almighty,3483,19510,5/23/2003,Universal Pictures,Spring,Yes,5,23,2003
The Lost World: Jurassic Park,3281,21985,5/23/1997,Universal Pictures,Spring,Yes,5,23,1997
Indiana Jones and the Temple of Doom,1687,15019,5/23/1984,Paramount Pictures,Spring,Yes,5,23,1984
Aladdin,4476,20442,5/24/2019,Walt Disney Studios Motion Pictures,Spring,Yes,5,24,2019
Fast & Furious 6,3658,26619,5/24/2013,Universal Pictures,Spring,Yes,5,24,2013
Epic,3882,8637,5/24/2013,Twentieth Century Fox,Spring,Yes,5,24,2013
Mission: Impossible II,3653,15835,5/24/2000,Paramount Pictures,Spring,Yes,5,24,2000
Indiana Jones and the Last Crusade,2327,12614,5/24/1989,Paramount Pictures,Spring,Yes,5,24,1989
Solo: A Star Wars Story,4381,19269,5/25/2018,Walt Disney Studios Motion Pictures,Spring,Yes,5,25,2018
Men in Black³,4248,12851,5/25/2012,Sony Pictures Releasing,Spring,Yes,5,25,2012
Pirates of the Caribbean: At World's End,4362,26302,5/25/2007,Walt Disney Studios Motion Pictures,Spring,Yes,5,25,2007
Pearl Harbor,3214,18381,5/25/2001,Walt Disney Studios Motion Pictures,Spring,Yes,5,25,2001
Star Wars: Episode VI - Return of the Jedi,1002,22973,5/25/1983,Twentieth Century Fox,Spring,Yes,5,25,1983
The Little Mermaid,4320,22124,5/26/2023,Walt Disney Studios Motion Pictures,Spring,Yes,5,26,2023
Pirates of the Caribbean: Dead Men Tell No Tales,4276,14729,5/26/2017,Walt Disney Studios Motion Pictures,Spring,Yes,5,26,2017
The Hangover Part II,3615,23774,5/26/2011,Warner Bros.,Spring,Yes,5,26,2011
Kung Fu Panda 2,3925,12141,5/26/2011,DreamWorks,Spring,Yes,5,26,2011
X-Men: The Last Stand,3690,27845,5/26/2006,Twentieth Century Fox,Spring,Yes,5,26,2006
Top Gun: Maverick,4735,26759,5/27/2022,Paramount Pictures,Spring,Yes,5,27,2022
X-Men: Apocalypse,4150,15848,5/27/2016,Twentieth Century Fox,Spring,Yes,5,27,2016
Alice Through the Looking Glass,3763,7137,5/27/2016,Walt Disney Studios Motion Pictures,Spring,Yes,5,27,2016
Sex and the City 2,3445,8999,5/27/2010,Warner Bros.,Spring,Yes,5,27,2010
The Longest Yard,3634,13100,5/27/2005,Paramount Pictures,Spring,Yes,5,27,2005
Madagascar,4131,11431,5/27/2005,DreamWorks Distribution,Spring,Yes,5,27,2005
The Flintstones,2498,11885,5/27/1994,Universal Pictures,Spring,Yes,5,27,1994
A Quiet Place Part II,3726,12760,5/28/2021,Paramount Pictures,Spring,Yes,5,28,2021
Prince of Persia: The Sands of Time,3646,8254,5/28/2010,Walt Disney Studios Motion Pictures,Spring,Yes,5,28,2010
The Day After Tomorrow,3425,20071,5/28/2004,Twentieth Century Fox,Spring,Yes,5,28,2004
Notting Hill,2747,7940,5/28/1999,Universal Pictures,Spring,Yes,5,28,1999
San Andreas,3777,14452,5/29/2015,Warner Bros.,Spring,Yes,5,29,2015
Up,3766,18085,5/29/2009,Walt Disney Studios Motion Pictures,Spring,Yes,5,29,2009
Maleficent,3948,17586,5/30/2014,Walt Disney Studios Motion Pictures,Spring,Yes,5,30,2014
Sex and the City,3285,17363,5/30/2008,Warner Bros.,Spring,Yes,5,30,2008
Finding Nemo,3374,20821,5/30/2003,Walt Disney Studios Motion Pictures,Spring,Yes,5,30,2003
Godzilla: King of the Monsters,4108,11630,5/31/2019,Warner Bros.,Spring,Yes,5,31,2019
Rocketman,3610,7126,5/31/2019,Paramount Pictures,Spring,Yes,5,31,2019
Now You See Me,2925,10034,5/31/2013,Lionsgate Films,Spring,Yes,5,31,2013
After Earth,3401,8091,5/31/2013,Sony Pictures Releasing,Spring,Yes,5,31,2013
The Sum of All Fears,3183,9795,5/31/2002,Paramount Pictures,Spring,Yes,5,31,2002
Snow White and the Huntsman,3773,14900,6/1/2012,Universal Pictures,Summer,No,6,1,2012
Knocked Up,2871,10690,6/1/2007,Universal Pictures,Summer,No,6,1,2007
Total Recall,2060,12395,6/1/1990,Sony Pictures Releasing,Summer,No,6,1,1990
Spider-Man: Across the Spider-Verse,4313,27976,6/2/2023,Columbia Pictures,Summer,No,6,2,2023
Wonder Woman,4165,24790,6/2/2017,Warner Bros.,Summer,No,6,2,2017
Captain Underpants: The First Epic Movie,3434,6945,6/2/2017,Twentieth Century Fox,Summer,No,6,2,2017
The Break-Up,3070,12759,6/2/2006,Universal Pictures,Summer,No,6,2,2006
Big Momma's House,2802,9158,6/2/2000,Twentieth Century Fox,Summer,No,6,2,2000
Teenage Mutant Ninja Turtles: Out of the Shadows,4071,8675,6/3/2016,Paramount Pictures,Summer,No,6,3,2016
X-Men: First Class,3641,15133,6/3/2011,Twentieth Century Fox,Summer,No,6,3,2011
The Conjuring: The Devil Made Me Do It,3102,7770,6/4/2021,Warner Bros.,Summer,No,6,4,2021
Harry Potter and the Prisoner of Azkaban,3855,24302,6/4/2004,Warner Bros.,Summer,No,6,4,2004
Spy,3711,7837,6/5/2015,Twentieth Century Fox,Summer,No,6,5,2015
Insidious: Chapter 3,3002,7559,6/5/2015,Focus Features,Summer,No,6,5,2015
The Hangover,3269,13759,6/5/2009,Warner Bros.,Summer,No,6,5,2009
The Truman Show,2315,13625,6/5/1998,Paramount Pictures,Summer,No,6,5,1998
The Fault in Our Stars,3173,15128,6/6/2014,Twentieth Century Fox,Summer,No,6,6,2014
Edge of Tomorrow,3490,8240,6/6/2014,Warner Bros.,Summer,No,6,6,2014
Kung Fu Panda,4114,14642,6/6/2008,DreamWorks,Summer,No,6,6,2008
You Don't Mess with the Zohan,3462,11129,6/6/2008,Sony Pictures Releasing,Summer,No,6,6,2008
2 Fast 2 Furious,3408,14810,6/6/2003,Universal Pictures,Summer,No,6,6,2003
Con Air,2824,8545,6/6/1997,Walt Disney Studios Motion Pictures,Summer,No,6,6,1997
The Secret Life of Pets 2,4561,10228,6/7/2019,Universal Pictures,Summer,No,6,7,2019
X-Men: Dark Phoenix,3721,8822,6/7/2019,Twentieth Century Fox,Summer,No,6,7,2019
The Purge,2536,13429,6/7/2013,Universal Pictures,Summer,No,6,7,2013
The Rock,2392,10480,6/7/1996,Walt Disney Studios Motion Pictures,Summer,No,6,7,1996
Ocean's Eight,4145,10037,6/8/2018,Warner Bros.,Summer,No,6,8,2018
Madagascar 3: Europe's Most Wanted,4258,14165,6/8/2012,DreamWorks,Summer,No,6,8,2012
Prometheus,3396,15032,6/8/2012,Twentieth Century Fox,Summer,No,6,8,2012
Ocean's Thirteen,3565,10135,6/8/2007,Warner Bros.,Summer,No,6,8,2007
Transformers: Rise of the Beasts,3678,16597,6/9/2023,Paramount Pictures,Summer,No,6,9,2023
The Mummy,4035,7853,6/9/2017,Universal Pictures,Summer,No,6,9,2017
Cars,3985,15086,6/9/2006,Walt Disney Studios Motion Pictures,Summer,No,6,9,2006
Gone in 60 Seconds,3006,8428,6/9/2000,Walt Disney Studios Motion Pictures,Summer,No,6,9,2000
Austin Powers: The Spy Who Shagged Me,3312,16581,6/9/1999,New Line Cinema,Summer,No,6,9,1999
Congo,2649,9302,6/9/1995,Paramount Pictures,Summer,No,6,9,1995
Jurassic World: Dominion,4676,31025,6/10/2022,Universal Pictures,Summer,No,6,10,2022
The Conjuring 2,3343,12086,6/10/2016,Warner Bros.,Summer,No,6,10,2016
Warcraft,3400,7107,6/10/2016,Universal Pictures,Summer,No,6,10,2016
Now You See Me 2,3232,6925,6/10/2016,Lionsgate Films,Summer,No,6,10,2016
Super 8,3379,10491,6/10/2011,Paramount Pictures,Summer,No,6,10,2011
Mr. & Mrs. Smith,3424,14702,6/10/2005,Twentieth Century Fox,Summer,No,6,10,2005
The Karate Kid,3663,15196,6/11/2010,Sony Pictures Releasing,Summer,No,6,11,2010
The A-Team,3535,7261,6/11/2010,Twentieth Century Fox,Summer,No,6,11,2010
The Chronicles of Riddick,2757,8809,6/11/2004,Universal Pictures,Summer,No,6,11,2004
Garfield: The Movie,3094,7022,6/11/2004,Twentieth Century Fox,Summer,No,6,11,2004
Jurassic Park,2404,19561,6/11/1993,Universal Pictures,Summer,No,6,11,1993
Jurassic World,4274,48855,6/12/2015,Universal Pictures,Summer,No,6,12,2015
The Taking of Pelham 123,3074,7603,6/12/2009,Sony Pictures Releasing,Summer,No,6,12,2009
22 Jump Street,3306,17262,6/13/2014,Sony Pictures Releasing,Summer,No,6,13,2014
How to Train Your Dragon 2,4253,11627,6/13/2014,Twentieth Century Fox,Summer,No,6,13,2014
The Incredible Hulk,3505,15810,6/13/2008,Universal Pictures,Summer,No,6,13,2008
The Happening,2986,10220,6/13/2008,Twentieth Century Fox,Summer,No,6,13,2008
Men in Black: International,4224,7110,6/14/2019,Sony Pictures Releasing,Summer,No,6,14,2019
Man of Steel,4207,27720,6/14/2013,Warner Bros.,Summer,No,6,14,2013
Scooby-Doo,3447,15710,6/14/2002,Warner Bros.,Summer,No,6,14,2002
The Bourne Identity,2638,10280,6/14/2002,Universal Pictures,Summer,No,6,14,2002
Robin Hood: Prince of Thieves,2369,10817,6/14/1991,Warner Bros.,Summer,No,6,14,1991
Incredibles 2,4410,41425,6/15/2018,Walt Disney Studios Motion Pictures,Summer,No,6,15,2018
Fantastic Four: Rise of the Silver Surfer,3959,14663,6/15/2007,Twentieth Century Fox,Summer,No,6,15,2007
Batman Begins,3858,12634,6/15/2005,Warner Bros.,Summer,No,6,15,2005
Lara Croft: Tomb Raider,3308,14430,6/15/2001,Paramount Pictures,Summer,No,6,15,2001
Dick Tracy,2332,9667,6/15/1990,Walt Disney Studios Motion Pictures,Summer,No,6,15,1990
The Flash,4234,13000,6/16/2023,Warner Bros.,Summer,No,6,16,2023
Elemental,4035,7336,6/16/2023,Walt Disney Studios Motion Pictures,Summer,No,6,16,2023
Cars 3,4256,12614,6/16/2017,Walt Disney Studios Motion Pictures,Summer,No,6,16,2017
All Eyez on Me,2471,10698,6/16/2017,Lionsgate Films,Summer,No,6,16,2017
Nacho Libre,3070,9221,6/16/2006,Paramount Pictures,Summer,No,6,16,2006
The Fast and the Furious: Tokyo Drift,3027,7920,6/16/2006,Universal Pictures,Summer,No,6,16,2006
Shaft,2337,9291,6/16/2000,Paramount Pictures,Summer,No,6,16,2000
Tarzan,3005,11388,6/16/1999,Walt Disney Studios Motion Pictures,Summer,No,6,16,1999
Batman Forever,2842,18572,6/16/1995,Warner Bros.,Summer,No,6,16,1995
Ghostbusters II,2410,12229,6/16/1989,Columbia Pictures,Summer,No,6,16,1989
Lightyear,4255,11886,6/17/2022,Walt Disney Studios Motion Pictures,Summer,No,6,17,2022
Finding Dory,4305,31372,6/17/2016,Walt Disney Studios Motion Pictures,Summer,No,6,17,2016
Central Intelligence,3508,10129,6/17/2016,Warner Bros.,Summer,No,6,17,2016
Green Lantern,3816,13934,6/17/2011,Warner Bros.,Summer,No,6,17,2011
Toy Story 3,4028,27385,6/18/2010,Walt Disney Studios Motion Pictures,Summer,No,6,18,2010
Dodgeball: A True Underdog Story,2694,11161,6/18/2004,Twentieth Century Fox,Summer,No,6,18,2004
The General's Daughter,2856,7819,6/18/1999,Paramount Pictures,Summer,No,6,18,1999
Inside Out,3946,22919,6/19/2015,Walt Disney Studios Motion Pictures,Summer,No,6,19,2015
The Proposal,3056,11003,6/19/2009,Walt Disney Studios Motion Pictures,Summer,No,6,19,2009
The X Files,2629,11463,6/19/1998,Twentieth Century Fox,Summer,No,6,19,1998
Mulan,2888,7875,6/19/1998,Walt Disney Studios Motion Pictures,Summer,No,6,19,1998
Batman Returns,2644,17279,6/19/1992,Warner Bros.,Summer,No,6,19,1992
Think Like a Man Too,2225,13142,6/20/2014,Screen Gems,Summer,No,6,20,2014
Get Smart,3911,9890,6/20/2008,Warner Bros.,Summer,No,6,20,2008
Hulk,3660,16974,6/20/2003,Universal Pictures,Summer,No,6,20,2003
Batman & Robin,2934,14612,6/20/1997,Warner Bros.,Summer,No,6,20,1997
My Best Friend's Wedding,2134,10158,6/20/1997,Sony Pictures Releasing,Summer,No,6,20,1997
Toy Story 4,4575,26427,6/21/2019,Walt Disney Studios Motion Pictures,Summer,No,6,21,2019
Transformers: The Last Knight,4069,10980,6/21/2017,Paramount Pictures,Summer,No,6,21,2017
Monsters University,4004,20586,6/21/2013,Walt Disney Studios Motion Pictures,Summer,No,6,21,2013
World War Z,3607,18411,6/21/2013,Paramount Pictures,Summer,No,6,21,2013
Minority Report,3001,11888,6/21/2002,Twentieth Century Fox,Summer,No,6,21,2002
Lilo & Stitch,3191,11049,6/21/2002,Walt Disney Studios Motion Pictures,Summer,No,6,21,2002
Eraser,2410,10193,6/21/1996,Warner Bros.,Summer,No,6,21,1996
Jurassic World: Fallen Kingdom,4475,33078,6/22/2018,Universal Pictures,Summer,No,6,22,2018
Brave,4164,15927,6/22/2012,Walt Disney Studios Motion Pictures,Summer,No,6,22,2012
Evan Almighty,3604,8654,6/22/2007,Universal Pictures,Summer,No,6,22,2007
The Fast and the Furious,2628,15254,6/22/2001,Universal Pictures,Summer,No,6,22,2001
Dr. Dolittle 2,3049,8211,6/22/2001,Twentieth Century Fox,Summer,No,6,22,2001
Click,3749,10672,6/23/2006,Revolution Studios,Summer,No,6,23,2006
Fahrenheit 9/11,868,27558,6/23/2004,Lionsgate Films,Summer,No,6,23,2004
"Me, Myself & Irene",3019,8019,6/23/2000,Twentieth Century Fox,Summer,No,6,23,2000
Batman,2194,18454,6/23/1989,Warner Bros.,Summer,No,6,23,1989
Elvis,3906,7990,6/24/2022,Warner Bros.,Summer,No,6,24,2022
The Black Phone,3150,7502,6/24/2022,Universal Pictures,Summer,No,6,24,2022
Independence Day: Resurgence,4130,9937,6/24/2016,Twentieth Century Fox,Summer,No,6,24,2016
Cars 2,4115,16071,6/24/2011,Walt Disney Studios Motion Pictures,Summer,No,6,24,2011
Bad Teacher,3049,10365,6/24/2011,Sony Pictures Releasing,Summer,No,6,24,2011
Transformers: Revenge of the Fallen,4234,25736,6/24/2009,DreamWorks,Summer,No,6,24,2009
F9: The Fast Saga,4179,16760,6/25/2021,Universal Pictures,Summer,No,6,25,2021
Grown Ups,3534,11461,6/25/2010,Sony Pictures Releasing,Summer,No,6,25,2010
Big Daddy,3027,13721,6/25/1999,Sony Pictures Releasing,Summer,No,6,25,1999
Ted 2,3442,9735,6/26/2015,Universal Pictures,Summer,No,6,26,2015
Doctor Dolittle,2777,10448,6/26/1998,Twentieth Century Fox,Summer,No,6,26,1998
Transformers: Age of Extinction,4233,23632,6/27/2014,Paramount Pictures,Summer,No,6,27,2014
WALL·E,3992,15803,6/27/2008,Walt Disney Studios Motion Pictures,Summer,No,6,27,2008
Wanted,3175,16040,6/27/2008,Universal Pictures,Summer,No,6,27,2008
Live Free or Die Hard,3408,9791,6/27/2007,Twentieth Century Fox,Summer,No,6,27,2007
Charlie's Angels: Full Throttle,3459,10880,6/27/2003,Sony Pictures Releasing,Summer,No,6,27,2003
Face/Off,2621,8923,6/27/1997,Paramount Pictures,Summer,No,6,27,1997
The Heat,3181,12296,6/28/2013,Twentieth Century Fox,Summer,No,6,28,2013
White House Down,3222,7713,6/28/2013,Sony Pictures Releasing,Summer,No,6,28,2013
Superman Returns,4065,12923,6/28/2006,Warner Bros.,Summer,No,6,28,2006
Mr. Deeds,3231,11501,6/28/2002,Sony Pictures Releasing,Summer,No,6,28,2002
The Patriot,3061,7322,6/28/2000,Sony Pictures Releasing,Summer,No,6,28,2000
The Nutty Professor,2115,12015,6/28/1996,Universal Pictures,Summer,No,6,28,1996
Ted,3239,16800,6/29/2012,Universal Pictures,Summer,No,6,29,2012
Magic Mike,2930,13353,6/29/2012,Warner Bros.,Summer,No,6,29,2012
Madea's Witness Protection,2161,11749,6/29/2012,Lionsgate Films,Summer,No,6,29,2012
Transformers: Dark of the Moon,4088,23936,6/29/2011,DreamWorks,Summer,No,6,29,2011
Ratatouille,3940,11935,6/29/2007,Walt Disney Studios Motion Pictures,Summer,No,6,29,2007
War of the Worlds,3908,16601,6/29/2005,Paramount Pictures,Summer,No,6,29,2005
A.I. Artificial Intelligence,3242,9053,6/29/2001,Warner Bros.,Summer,No,6,29,2001
Indiana Jones and the Dial of Destiny,4600,13123,6/30/2023,Walt Disney Studios Motion Pictures,Summer,No,6,30,2023
Despicable Me 3,4529,15993,6/30/2017,Universal Pictures,Summer,No,6,30,2017
The Twilight Saga: Eclipse,4468,14510,6/30/2010,Summit Entertainment,Summer,No,6,30,2010
The Devil Wears Prada,2847,9672,6/30/2006,Twentieth Century Fox,Summer,No,6,30,2006
Spider-Man 2,4152,21232,6/30/2004,Sony Pictures Releasing,Summer,No,6,30,2004
The Perfect Storm,3407,12129,6/30/2000,Warner Bros.,Summer,No,6,30,2000
Wild Wild West,3342,8284,6/30/1999,Warner Bros.,Summer,No,6,30,1999
Apollo 13,2197,11540,6/30/1995,Universal Pictures,Summer,No,6,30,1995
Minions: The Rise of Gru,4391,24370,7/1/2022,Universal Pictures,Summer,Yes,7,1,2022
The Legend of Tarzan,3561,10819,7/1/2016,Warner Bros.,Summer,Yes,7,1,2016
The Purge: Election Year,2796,11271,7/1/2016,Universal Pictures,Summer,Yes,7,1,2016
Terminator Genisys,3758,7189,7/1/2015,Paramount Pictures,Summer,Yes,7,1,2015
The Last Airbender,3169,12724,7/1/2010,Paramount Pictures,Summer,Yes,7,1,2010
Ice Age: Dawn of the Dinosaurs,4099,10170,7/1/2009,Twentieth Century Fox,Summer,Yes,7,1,2009
Public Enemies,3334,7579,7/1/2009,Universal Pictures,Summer,Yes,7,1,2009
Armageddon,3127,11541,7/1/1998,Walt Disney Studios Motion Pictures,Summer,Yes,7,1,1998
Spider-Man: Far from Home,4634,19978,7/2/2019,Sony Pictures Releasing,Summer,Yes,7,2,2019
Tammy,3465,6227,7/2/2014,Warner Bros.,Summer,Yes,7,2,2014
Hancock,3965,15789,7/2/2008,Sony Pictures Releasing,Summer,Yes,7,2,2008
Terminator 3: Rise of the Machines,3504,12568,7/2/2003,Warner Bros.,Summer,Yes,7,2,2003
"Legally Blonde 2: Red, White & Blonde",3350,6633,7/2/2003,Metro-Goldwyn-Mayer (MGM),Summer,Yes,7,2,2003
Men in Black,3020,16910,7/2/1997,Sony Pictures Releasing,Summer,Yes,7,2,1997
The Firm,2393,10614,7/2/1993,Paramount Pictures,Summer,Yes,7,2,1993
Despicable Me 2,3997,20895,7/3/2013,Universal Pictures,Summer,Yes,7,3,2013
The Lone Ranger,3904,7482,7/3/2013,Walt Disney Studios Motion Pictures,Summer,Yes,7,3,2013
The Amazing Spider-Man,4318,14359,7/3/2012,Sony Pictures Releasing,Summer,Yes,7,3,2012
Transformers,4011,17577,7/3/2007,DreamWorks,Summer,Yes,7,3,2007
Men in Black II,3557,14660,7/3/2002,Sony Pictures Releasing,Summer,Yes,7,3,2002
Independence Day,2882,17428,7/3/1996,Twentieth Century Fox,Summer,Yes,7,3,1996
Terminator 2: Judgment Day,2274,13969,7/3/1991,TriStar Pictures,Summer,Yes,7,3,1991
Cats & Dogs,3040,7140,7/4/2001,Warner Bros.,Summer,Yes,7,4,2001
Ant-Man and the Wasp,4206,18024,7/6/2018,Walt Disney Studios Motion Pictures,Summer,Yes,7,6,2018
Forrest Gump,1595,15329,7/6/1994,Paramount Pictures,Summer,Yes,7,6,1994
Die Hard 2,2507,8673,7/6/1990,Twentieth Century Fox,Summer,Yes,7,6,1990
Insidious: The Red Door,3188,10355,7/7/2023,Screen Gems,Summer,Yes,7,7,2023
Spider-Man: Homecoming,4348,26915,7/7/2017,Sony Pictures Releasing,Summer,Yes,7,7,2017
Pirates of the Caribbean: Dead Man's Chest,4133,32817,7/7/2006,Walt Disney Studios Motion Pictures,Summer,Yes,7,7,2006
Scary Movie,2912,14542,7/7/2000,Miramax,Summer,Yes,7,7,2000
Thor: Love and Thunder,4375,32952,7/8/2022,Walt Disney Studios Motion Pictures,Summer,Yes,7,8,2022
The Secret Life of Pets,4370,23879,7/8/2016,Universal Pictures,Summer,Yes,7,8,2016
Horrible Bosses,3040,9309,7/8/2011,Warner Bros.,Summer,Yes,7,8,2011
Fantastic Four,3602,15563,7/8/2005,Twentieth Century Fox,Summer,Yes,7,8,2005
Black Widow,4160,19318,7/9/2021,Walt Disney Studios Motion Pictures,Summer,No,7,9,2021
Despicable Me,3476,16224,7/9/2010,Universal Pictures,Summer,No,7,9,2010
Predators,2669,9277,7/9/2010,Twentieth Century Fox,Summer,No,7,9,2010
Anchorman: The Legend of Ron Burgundy,3091,9193,7/9/2004,DreamWorks Distribution,Summer,No,7,9,2004
Pirates of the Caribbean: The Curse of the Black Pearl,3269,14264,7/9/2003,Walt Disney Studios Motion Pictures,Summer,No,7,9,2003
Minions,4301,26905,7/10/2015,Universal Pictures,Summer,No,7,10,2015
Brüno,2756,11109,7/10/2009,Universal Pictures,Summer,No,7,10,2009
Lethal Weapon 4,3117,10923,7/10/1998,Warner Bros.,Summer,No,7,10,1998
Dawn of the Planet of the Apes,3967,18303,7/11/2014,Twentieth Century Fox,Summer,No,7,11,2014
Hellboy II: The Golden Army,3204,10779,7/11/2008,Universal Pictures,Summer,No,7,11,2008
Harry Potter and the Order of the Phoenix,4285,17994,7/11/2007,Warner Bros.,Summer,No,7,11,2007
The League of Extraordinary Gentlemen,3002,7686,7/11/2003,Twentieth Century Fox,Summer,No,7,11,2003
Mission: Impossible - Dead Reckoning Part One,4327,12638,7/12/2023,Paramount Pictures,Summer,No,7,12,2023
Grown Ups 2,3491,11890,7/12/2013,Sony Pictures Releasing,Summer,No,7,12,2013
Pacific Rim,3275,11384,7/12/2013,Warner Bros.,Summer,No,7,12,2013
Road to Perdition,1797,12286,7/12/2002,DreamWorks Distribution,Summer,No,7,12,2002
Hotel Transylvania 3: Summer Vacation,4267,10329,7/13/2018,Sony Pictures Releasing,Summer,No,7,13,2018
Skyscraper,3782,6585,7/13/2018,Universal Pictures,Summer,No,7,13,2018
Ice Age: Continental Drift,3881,12014,7/13/2012,Twentieth Century Fox,Summer,No,7,13,2012
War for the Planet of the Apes,4022,13988,7/14/2017,Twentieth Century Fox,Summer,No,7,14,2017
Little Man,2533,8532,7/14/2006,Revolution Studios,Summer,No,7,14,2006
"You, Me and Dupree",3131,6874,7/14/2006,Universal Pictures,Summer,No,7,14,2006
X-Men,3025,18007,7/14/2000,Twentieth Century Fox,Summer,No,7,14,2000
Ghostbusters,3963,11612,7/15/2016,Sony Pictures Releasing,Summer,No,7,15,2016
Harry Potter and the Deathly Hallows: Part 2,4375,38671,7/15/2011,Warner Bros.,Summer,No,7,15,2011
Harry Potter and the Half-Blood Prince,4325,17996,7/15/2009,Warner Bros.,Summer,No,7,15,2009
Charlie and the Chocolate Factory,3770,14901,7/15/2005,Warner Bros.,Summer,No,7,15,2005
Wedding Crashers,2925,11008,7/15/2005,New Line Cinema,Summer,No,7,15,2005
True Lies,2368,10924,7/15/1994,Twentieth Century Fox,Summer,No,7,15,1994
Space Jam: A New Legacy,3965,7831,7/16/2021,Warner Bros.,Summer,No,7,16,2021
Inception,3792,16557,7/16/2010,Warner Bros.,Summer,No,7,16,2010
"I, Robot",3420,15257,7/16/2004,Twentieth Century Fox,Summer,No,7,16,2004
Eyes Wide Shut,2411,9002,7/16/1999,Warner Bros.,Summer,No,7,16,1999
Ant-Man,3856,14840,7/17/2015,Walt Disney Studios Motion Pictures,Summer,No,7,17,2015
Trainwreck,3158,9530,7/17/2015,Universal Pictures,Summer,No,7,17,2015
The Mask of Zorro,2515,8956,7/17/1998,Sony Pictures Releasing,Summer,No,7,17,1998
The Purge: Anarchy,2805,10629,7/18/2014,Universal Pictures,Summer,No,7,18,2014
The Dark Knight,4366,36282,7/18/2008,Warner Bros.,Summer,No,7,18,2008
Mamma Mia!,2976,9325,7/18/2008,Universal Pictures,Summer,No,7,18,2008
Bad Boys II,3186,14602,7/18/2003,Sony Pictures Releasing,Summer,No,7,18,2003
Jurassic Park III,3434,14784,7/18/2001,Universal Pictures,Summer,No,7,18,2001
The Lion King,4725,40586,7/19/2019,Walt Disney Studios Motion Pictures,Summer,No,7,19,2019
The Conjuring,2903,14417,7/19/2013,Warner Bros.,Summer,No,7,19,2013
The Equalizer 2,3388,10629,7/20/2018,Sony Pictures Releasing,Summer,No,7,20,2018
Mamma Mia! Here We Go Again,3317,10537,7/20/2018,Universal Pictures,Summer,No,7,20,2018
The Dark Knight Rises,4404,36532,7/20/2012,Warner Bros.,Summer,No,7,20,2012
I Now Pronounce You Chuck & Larry,3495,9795,7/20/2007,Universal Pictures,Summer,No,7,20,2007
Hairspray,3121,8907,7/20/2007,New Line Cinema,Summer,No,7,20,2007
America's Sweethearts,3011,10023,7/20/2001,Revolution Studios,Summer,No,7,20,2001
Barbie,4243,38185,7/21/2023,Warner Bros.,Summer,No,7,21,2023
Oppenheimer,3610,22840,7/21/2023,Universal Pictures,Summer,No,7,21,2023
Dunkirk,3720,13578,7/21/2017,Warner Bros.,Summer,No,7,21,2017
Girls Trip,2591,12042,7/21/2017,Universal Pictures,Summer,No,7,21,2017
Monster House,3553,6253,7/21/2006,Sony Pictures Releasing,Summer,No,7,21,2006
What Lies Beneath,2813,10559,7/21/2000,DreamWorks Distribution,Summer,No,7,21,2000
Nope,3785,11721,7/22/2022,Universal Pictures,Summer,No,7,22,2022
Star Trek Beyond,3928,15084,7/22/2016,Paramount Pictures,Summer,No,7,22,2016
Lights Out,2818,7696,7/22/2016,Warner Bros.,Summer,No,7,22,2016
Captain America: The First Avenger,3715,17512,7/22/2011,Paramount Pictures,Summer,No,7,22,2011
Salt,3612,9969,7/23/2010,Sony Pictures Releasing,Summer,No,7,23,2010
The Bourne Supremacy,3165,16594,7/23/2004,Universal Pictures,Summer,No,7,23,2004
The Haunting,2808,11907,7/23/1999,DreamWorks Distribution,Summer,No,7,23,1999
Inspector Gadget,2814,7778,7/23/1999,Walt Disney Studios Motion Pictures,Summer,No,7,23,1999
Pixels,3723,6449,7/24/2015,Sony Pictures Releasing,Summer,No,7,24,2015
G-Force,3697,8576,7/24/2009,Walt Disney Studios Motion Pictures,Summer,No,7,24,2009
The Ugly Truth,2882,9578,7/24/2009,Sony Pictures Releasing,Summer,No,7,24,2009
Saving Private Ryan,2463,12414,7/24/1998,DreamWorks Distribution,Summer,No,7,24,1998
Lucy,3173,13835,7/25/2014,Universal Pictures,Summer,No,7,25,2014
Hercules,3595,8289,7/25/2014,Paramount Pictures,Summer,No,7,25,2014
Step Brothers,3094,10000,7/25/2008,Sony Pictures Releasing,Summer,No,7,25,2008
Spy Kids 3: Game Over,3344,9718,7/25/2003,Dimension Films,Summer,No,7,25,2003
Lara Croft: Tomb Raider - The Cradle of Life,3222,6760,7/25/2003,Paramount Pictures,Summer,No,7,25,2003
Air Force One,2919,12720,7/25/1997,Sony Pictures Releasing,Summer,No,7,25,1997
