Movie,Theaters,Inflation Adjusted Average,Date,Distributor,Season,Holiday,Month,Date,Year
Fifty Shades of Grey,3646,23360,2/13/2015,Universal Pictures,Winter,Yes,2,13,2015
Kingsman: The Secret Service,3204,11300,2/13/2015,Twentieth Century Fox,Winter,Yes,2,13,2015
Friday the 13th,3105,13066,2/13/2009,Warner Bros.,Winter,Yes,2,13,2009
50 First Dates,3591,11097,2/13/2004,Sony Pictures Releasing,Winter,Yes,2,13,2004
Sonic the Hedgehog,4167,13923,2/14/2020,Paramount Pictures,Winter,Yes,2,14,2020
Alita: Battle Angel,3790,7526,2/14/2019,Twentieth Century Fox,Winter,Yes,2,14,2019
About Last Night,2253,11384,2/14/2014,Screen Gems,Winter,Yes,2,14,2014
A Good Day to Die Hard,3553,6989,2/14/2013,Twentieth Century Fox,Winter,Yes,2,14,2013
Jumper,3428,7979,2/14/2008,Twentieth Century Fox,Winter,Yes,2,14,2008
Daredevil,3471,11613,2/14/2003,Twentieth Century Fox,Winter,Yes,2,14,2003
Black Panther,4020,50249,2/16/2018,Walt Disney Studios Motion Pictures,Winter,Yes,2,16,2018
Ghost Rider,3619,12541,2/16/2007,Sony Pictures Releasing,Winter,Yes,2,16,2007
Bridge to Terabithia,3139,7188,2/16/2007,Walt Disney Studios Motion Pictures,Winter,Yes,2,16,2007
Ant-Man and the Wasp: Quantumania,4345,24421,2/17/2023,Walt Disney Studios Motion Pictures,Winter,Yes,2,17,2023
Ghost Rider: Spirit of Vengeance,3174,6967,2/17/2012,Sony Pictures Releasing,Winter,Yes,2,17,2012
Uncharted,4275,10294,2/18/2022,Sony Pictures Releasing,Winter,Yes,2,18,2022
Unknown,3043,7182,2/18/2011,Warner Bros.,Winter,Yes,2,18,2011
Constantine,3006,9903,2/18/2005,Warner Bros.,Winter,Yes,2,18,2005
Shutter Island,2991,13728,2/19/2010,Paramount Pictures,Winter,Yes,2,19,2010
Madea Goes to Jail,2032,20192,2/20/2009,Lionsgate Films,Winter,Yes,2,20,2009
The Call of the Wild,3752,6607,2/21/2020,20th Century Studios,Winter,Yes,2,21,2020
Star Wars: Episode V - The Empire Strikes Back (1997 Special Edition),2111,10410,2/21/1997,Twentieth Century Fox,Winter,Yes,2,21,1997
How to Train Your Dragon: The Hidden World,4259,12919,2/22/2019,Universal Pictures,Winter,Yes,2,22,2019
Vantage Point,3149,7264,2/22/2008,Sony Pictures Releasing,Winter,Yes,2,22,2008
Cocaine Bear,3534,6582,2/24/2023,Universal Pictures,Winter,No,2,24,2023
Get Out,2781,12001,2/24/2017,Universal Pictures,Winter,No,2,24,2017
Act of Valor,3039,8054,2/24/2012,Relativity Media,Winter,No,2,24,2012
Madea's Family Reunion,2194,13687,2/24/2006,Lionsgate Films,Winter,No,2,24,2006
Diary of a Mad Black Woman,1483,14770,2/25/2005,Lionsgate Films,Winter,No,2,25,2005
The Passion of the Christ,3043,27554,2/25/2004,Newmarket Films,Winter,No,2,25,2004
The Invisible Man,3610,7813,2/28/2020,Universal Pictures,Winter,No,2,28,2020
Non-Stop,3090,9344,2/28/2014,Universal Pictures,Winter,No,2,28,2014
Son of God,3260,7853,2/28/2014,Twentieth Century Fox,Winter,No,2,28,2014
A Madea Family Funeral,2442,11082,3/1/2019,Lionsgate Films,Spring,No,3,1,2019
Jack the Giant Slayer,3525,7716,3/1/2013,Warner Bros.,Spring,No,3,1,2013
The Lorax,3729,18830,3/2/2012,Universal Pictures,Spring,No,3,2,2012
Wild Hogs,3287,12077,3/2/2007,Walt Disney Studios Motion Pictures,Spring,No,3,2,2007
Creed III,4007,14567,3/3/2023,United Artists Releasing,Spring,No,3,3,2023
Logan,4071,21717,3/3/2017,Twentieth Century Fox,Spring,No,3,3,2017
The Batman,4417,30339,3/4/2022,Warner Bros.,Spring,No,3,4,2022
Zootopia,3827,19614,3/4/2016,Walt Disney Studios Motion Pictures,Spring,No,3,4,2016
London Has Fallen,3490,6199,3/4/2016,Focus Features,Spring,No,3,4,2016
Rango,3917,9721,3/4/2011,Paramount Pictures,Spring,No,3,4,2011
The Pacifier,3131,9758,3/4/2005,Walt Disney Studios Motion Pictures,Spring,No,3,4,2005
Be Cool,3216,7291,3/4/2005,Metro-Goldwyn-Mayer (MGM),Spring,No,3,4,2005
Alice in Wonderland,3728,31142,3/5/2010,Walt Disney Studios Motion Pictures,Spring,No,3,5,2010
Starsky & Hutch,3185,8823,3/5/2004,Warner Bros.,Spring,No,3,5,2004
Onward,4310,9076,3/6/2020,Walt Disney Studios Motion Pictures,Spring,No,3,6,2020
